,MCVA,MCVA_x,MCVA_y,GC,GC_x,GC_y,TS,x,y,LE,max_depth,learning_rate,n_estimators,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma
0,0.0722,0.2897,-0.1452,0.8988,0.5289,1.3966,0.4704,-0.3696,48.1872,122.479,3,0.077419067,63,9,0.559530111,0.443893722,0.358237615,0.8139195
1,0.0742,0.2898,-0.1414,0.8955,0.5245,1.3862,0.4766,-3.1168,48.3219,87.254,4,0.050106957,142,3,0.706834132,0.230265279,4.892008379,0.981933327
2,0.0842,0.3001,-0.1316,0.8724,0.5124,1.3526,0.4745,-2.0233,48.9101,94.756,3,0.061103424,99,2,0.933637143,0.370122254,2.20274221,0.763702346
3,0.0757,0.2873,-0.1359,0.8981,0.5324,1.3842,0.4681,-2.6557,47.9631,49.302,7,0.061172108,64,10,0.551165816,0.248784761,2.348220935,0.07471191
4,0.0741,0.2954,-0.1471,0.8849,0.5174,1.3802,0.4776,-1.5544,47.811,43.563,3,0.079055285,76,9,0.716311624,0.382796583,1.845731023,0.227554658
5,0.0782,0.3044,-0.148,0.878,0.5062,1.3803,0.4776,-1.7319,48.0072,21.314,3,0.050666286,116,4,0.707549977,0.376125431,1.509172152,0.857953729
6,0.0829,0.299,-0.1333,0.8721,0.5135,1.3535,0.4779,-1.3013,47.7914,60.448,3,0.062955203,86,9,0.768341625,0.347972149,1.046739977,0.44097074
7,0.0788,0.3016,-0.144,0.8857,0.5098,1.3889,0.4752,-2.3606,47.6896,48.667,3,0.053415698,106,5,0.535204905,0.181986042,4.182127911,0.894757539
8,0.0803,0.2919,-0.1314,0.8764,0.5241,1.34,0.473,-1.8483,47.9344,18.183,3,0.075841837,76,4,0.955397579,0.536850457,1.309372149,0.493090284
9,0.0836,0.2983,-0.1311,0.8672,0.5143,1.3372,0.4762,-1.466,47.9223,43.086,3,0.072128446,84,5,0.985272041,0.41047603,2.610137974,0.068962212
10,0.0705,0.2945,-0.1534,0.8956,0.5209,1.3958,0.4748,-1.2099,47.9433,60.757,3,0.059069693,115,6,0.744949107,0.370507301,1.960590805,0.277016301
11,0.0825,0.2964,-0.1314,0.8781,0.5216,1.3528,0.4722,-0.4787,48.1095,113.766,3,0.094714028,76,3,0.912902428,0.510408214,0.385581377,0.052324595
12,0.0855,0.3021,-0.1311,0.8675,0.5118,1.3412,0.4775,-2.0005,48.259,22.358,3,0.070180929,103,3,0.872422997,0.357321146,2.771762906,0.160725006
13,0.0829,0.2953,-0.1296,0.8685,0.5196,1.3323,0.4766,-1.7773,48.0022,18.263,3,0.070719361,95,10,0.983168204,0.349658185,4.670247786,0.950062961
14,0.0701,0.2912,-0.1511,0.8969,0.5242,1.392,0.4783,-1.5419,48.961,106.124,3,0.083567828,66,2,0.809125967,0.378581259,2.742017525,0.054938146
15,0.0752,0.2956,-0.1453,0.8897,0.5182,1.3891,0.4757,-0.7883,48.0437,90.696,3,0.05001352,121,3,0.522139265,0.271007197,4.305840035,0.306320764
16,0.077,0.3044,-0.1504,0.8806,0.5099,1.3797,0.4695,-1.2558,48.2315,59.071,3,0.093535199,50,6,0.647361801,0.624732709,2.55863417,0.357449938
17,0.0554,0.2894,-0.1785,0.9244,0.5297,1.4548,0.4677,-0.9799,48.1072,76.589,3,0.054861817,134,8,0.662064349,0.712783057,0.802800346,0.974125038
18,0.0789,0.2967,-0.1389,0.8805,0.5173,1.3639,0.4747,-1.7181,47.7257,42.819,3,0.075559493,102,5,0.709274663,0.347890392,3.121671591,0.999972575
19,0.0743,0.3009,-0.1524,0.887,0.5132,1.3932,0.4741,-0.6388,48.569,116.124,3,0.074790343,52,9,0.792398229,0.567195592,1.023232017,0.329514782
20,0.0833,0.2938,-0.1272,0.8722,0.5187,1.3459,0.4618,-1.7525,48.5476,57.635,3,0.055183054,78,10,0.663089677,0.998712772,3.14570856,0.840781849
21,0.0711,0.2984,-0.1562,0.8892,0.5151,1.3929,0.4751,-1.4132,47.9998,44.724,3,0.051388864,111,6,0.738389251,0.426029307,2.492181366,0.873182044
22,0.0825,0.2938,-0.1288,0.874,0.5211,1.3481,0.4815,-1.2174,48.5345,78.932,3,0.109515264,50,5,0.973900626,0.223502003,0.88046621,0.350968307
23,0.0764,0.2944,-0.1416,0.8804,0.5153,1.3678,0.4737,-1.9578,48.0903,5.194,3,0.068599459,93,8,0.664470266,0.330311626,3.950980462,0.676262245
24,0.0743,0.2975,-0.1489,0.8849,0.5167,1.3852,0.4733,-0.858,48.5697,102.338,3,0.086701539,54,5,0.79857405,0.393027639,3.190975409,0.541972398
25,0.0849,0.3003,-0.1305,0.869,0.5103,1.3498,0.4785,-2.0108,48.1506,10.298,3,0.081248982,67,8,0.94962521,0.331511755,4.403499516,0.065069252
26,0.0867,0.3034,-0.13,0.8628,0.5059,1.3421,0.4768,-1.9747,48.2349,19.828,3,0.083958021,50,2,0.934282509,0.377921072,3.77359424,0.138811954
27,0.0875,0.308,-0.133,0.8632,0.5022,1.3466,0.4776,-1.6652,48.2986,36.918,3,0.054180526,95,9,0.995975706,0.25226802,1.602038402,0.387911327
28,0.0889,0.3006,-0.1229,0.8607,0.5126,1.3244,0.476,-1.8324,48.3901,39.159,3,0.06935051,89,8,0.904822413,0.358764276,4.158483337,0.854225664
29,0.0826,0.2977,-0.1325,0.8749,0.5173,1.3565,0.4744,-1.1521,48.1405,64.24,3,0.063190121,76,2,0.915825234,0.436650404,3.355999589,0.883269943
30,0.0843,0.2966,-0.128,0.869,0.5162,1.337,0.4731,-2.11,48.0153,8.929,3,0.090090497,50,4,0.941825268,0.486448399,4.039979031,0.175816146
31,0.0737,0.2884,-0.141,0.8946,0.5313,1.3749,0.4744,0.1811,47.4954,175.148,3,0.062126852,148,8,0.692354997,0.340633704,1.384695887,0.716912089
32,0.0823,0.3006,-0.136,0.8739,0.51,1.3631,0.4753,-1.7219,48.843,89.807,3,0.057349354,74,10,0.837044433,0.361749307,2.283111276,0.938931819
33,0.0832,0.3032,-0.1367,0.8715,0.5066,1.362,0.475,-2.0912,48.285,25.979,3,0.06436894,72,3,0.98748023,0.313630888,1.634801727,0.226849794
34,0.0746,0.3012,-0.1521,0.8886,0.5104,1.4028,0.472,-1.3057,48.2683,57.117,3,0.060219608,60,6,0.662037451,0.693168943,1.216916955,0.309002315
35,0.0784,0.2911,-0.1342,0.8765,0.5257,1.3412,0.4773,-1.0931,48.7629,103.472,3,0.095547473,53,5,0.809801358,0.464867954,1.899996028,0.602321834
36,0.0787,0.3039,-0.1464,0.8881,0.5073,1.4074,0.4724,-0.5908,47.7193,112.202,3,0.084336636,50,8,0.527738328,0.266409589,0.483910952,0.315740712
37,0.0766,0.2917,-0.1386,0.8855,0.5225,1.3675,0.4682,-1.567,48.5426,63.001,3,0.071045039,51,5,0.961312411,0.637248291,2.012050794,0.605093032
38,0.075,0.2947,-0.1447,0.8917,0.5171,1.3976,0.4691,-1.6365,48.7242,79.001,4,0.050045677,62,10,0.779644627,0.220256282,3.558837866,0.748394072
39,0.0841,0.3021,-0.1338,0.8742,0.51,1.3589,0.4741,-0.7308,48.0227,95.057,4,0.075526439,74,2,0.993227469,0.362924321,2.617820668,0.1759546
40,0.0823,0.2824,-0.1178,0.8771,0.5371,1.3306,0.4678,-1.6993,48.3476,39.514,3,0.052386311,77,7,0.500275028,0.957513951,2.414685611,0.722114084
41,0.0853,0.3027,-0.132,0.868,0.5077,1.3532,0.4733,-1.0262,47.7701,79.888,3,0.084205893,51,5,0.999768092,0.458635595,2.150633212,0.542583996
42,0.0806,0.2996,-0.1385,0.8802,0.5166,1.3706,0.4696,-2.7823,48.4869,74.537,3,0.054144318,82,8,0.622261403,0.761221447,2.830018703,0.534144644
43,0.0812,0.3037,-0.1412,0.8723,0.5064,1.3664,0.4767,-2.5007,48.3678,50.178,3,0.052586401,111,4,0.934317138,0.321969157,2.047595927,0.441561433
44,0.0814,0.2983,-0.1355,0.8769,0.5148,1.3596,0.4694,-2.497,47.8776,41.547,3,0.094544597,60,4,0.720467452,0.238789857,4.656236283,0.75740365
45,0.0795,0.2976,-0.1387,0.877,0.515,1.3674,0.4716,-1.5562,48.1287,34.485,3,0.050132715,93,4,0.582501724,0.40493244,2.113830275,0.47863678
46,0.0764,0.2881,-0.1352,0.8842,0.5289,1.3579,0.4637,0.1009,48.4007,160.808,3,0.113304717,50,2,0.714133335,0.69524006,3.505027128,0.162687031
47,0.0862,0.2995,-0.127,0.8673,0.5132,1.3385,0.4703,-2.4856,48.067,35.484,3,0.083142799,50,10,0.966910116,0.505288456,2.979091703,0.957711299
48,0.0739,0.2948,-0.1469,0.9074,0.5261,1.4186,0.4671,-2.8529,47.9847,63.342,6,0.059775795,107,7,0.636656938,0.204882938,0.617152454,0.792536553
49,0.0704,0.2924,-0.1516,0.8886,0.523,1.3781,0.4669,-1.6178,48.2767,37.816,3,0.077695256,71,3,0.989426489,0.581082163,1.178670137,0.223602563
