,MCV,MCV_x,MCV_y,GC,GC_x,GC_y,TS,x,y,GE,max_depth,learning_rate,n_estimators,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma
0,0.9088,0.8592,0.9584,0.0122,0.0312,0.0022,0.9524,4571.2183,7620.4414,6.2433,8,0.069632273,257,2,0.584424385,0.998331709,0.560837947,0.03347072
1,0.9082,0.8582,0.9582,0.0124,0.0318,0.0022,0.9541,4569.5933,7619.344,4.8826,8,0.050034024,261,3,0.657737404,0.76821452,3.670307555,0.403373581
2,0.9094,0.8614,0.9575,0.012,0.03,0.0023,0.9531,4568.934,7623.1567,4.4865,7,0.086506706,246,4,0.764969601,0.868443702,1.820681581,0.021069513
3,0.9052,0.8531,0.9573,0.0126,0.0324,0.0022,0.954,4569.496,7622.095,4.6276,3,0.101143746,240,3,0.724834286,0.999635629,1.904733313,0.403206158
4,0.9081,0.8593,0.9568,0.0122,0.0308,0.0023,0.9519,4570.0312,7621.592,5.0659,4,0.095046835,299,4,0.866272598,0.912285969,2.725130837,0.73272537
5,0.9078,0.86,0.9556,0.0123,0.0307,0.0024,0.9505,4573.495,7621.26,8.4991,6,0.128110132,198,4,0.86151408,0.911672742,2.017388749,0.645849208
6,0.9067,0.8561,0.9572,0.0123,0.0313,0.0023,0.9541,4570.1704,7622.112,5.2886,8,0.121426308,160,5,0.761928214,0.8763113,1.329472017,0.10111407
7,0.907,0.8607,0.9534,0.0125,0.031,0.0027,0.952,4565.2437,7622.8247,1.8409,4,0.101183889,149,2,0.75306801,0.479973701,1.423522142,0.32647934
8,0.9071,0.8589,0.9553,0.0124,0.0315,0.0024,0.9551,4565.825,7621.2793,0.8712,6,0.083439896,203,2,0.738998854,0.580507886,4.275789924,0.363161564
9,0.9078,0.8592,0.9563,0.0124,0.0311,0.0024,0.9543,4566.7256,7620.782,1.7393,6,0.083706489,293,4,0.705237439,0.503052192,1.58920744,0.903492134
10,0.9074,0.857,0.9577,0.0125,0.0319,0.0022,0.9559,4571.555,7620.351,6.5872,6,0.080435898,203,7,0.74232561,0.837119699,1.870673144,0.669206819
11,0.9092,0.862,0.9564,0.012,0.0296,0.0024,0.9537,4568.079,7622.079,3.2627,8,0.08749827,298,5,0.734522816,0.954394427,3.244629163,0.237926392
12,0.9069,0.8584,0.9553,0.012,0.0297,0.0025,0.9532,4566.617,7623.999,3.4073,8,0.129174298,218,5,0.644023868,0.578276842,0.79800919,0.434337457
13,0.9073,0.8574,0.9573,0.0124,0.0311,0.0024,0.9524,4569.8726,7621.2134,4.8772,5,0.093892675,279,2,0.973157145,0.8067986,1.611332846,0.050615656
14,0.9084,0.8644,0.9524,0.012,0.0288,0.0028,0.9503,4570.618,7621.8022,5.6752,8,0.145863097,255,9,0.54882628,0.745303397,3.626909844,0.214780238
15,0.9107,0.8638,0.9575,0.0121,0.0304,0.0023,0.9524,4572.2686,7621.1313,7.2697,8,0.091937552,160,3,0.599737764,0.834060746,0.332492721,0.180319316
16,0.909,0.8595,0.9585,0.0121,0.0307,0.0022,0.9529,4571.3857,7620.676,6.394,4,0.08919884,257,2,0.673460809,0.997300499,0.989695717,0.172299991
17,0.9084,0.8595,0.9574,0.0123,0.0314,0.0023,0.9527,4570.7,7620.8057,5.7035,4,0.094187408,294,4,0.797139236,0.878118579,3.777720184,0.88405729
18,0.9096,0.8611,0.9581,0.0121,0.0304,0.0023,0.9532,4569.484,7620.408,4.5228,5,0.076043024,299,3,0.798579118,0.832969853,0.365891011,0.270697381
19,0.9106,0.8633,0.958,0.0113,0.0281,0.0022,0.9519,4569.882,7620.0386,4.9756,6,0.084509794,231,3,0.765705774,0.89973659,2.67871158,0.319967496
20,0.9098,0.8634,0.9562,0.0116,0.0286,0.0024,0.9478,4574.061,7620.174,9.0986,5,0.152569478,203,3,0.836865128,0.945817868,1.67365097,0.067586457
21,0.9067,0.8592,0.9542,0.0122,0.0296,0.0026,0.9488,4570.7046,7622.2847,5.8475,4,0.147105773,180,3,0.825539694,0.79287208,1.102855613,0.312954349
22,0.9108,0.8628,0.9587,0.0121,0.0302,0.0023,0.9519,4569.1655,7620.1704,4.2473,5,0.087293757,285,2,0.676839722,0.919084368,0.816954223,0.760898682
