,MCV,MCV_x,MCV_y,GC,GC_x,GC_y,TS,x,y,GE,max_depth,learning_rate,n_estimators,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma
0,0.904,0.8522,0.9558,0.0131,0.0337,0.0024,0.9517,4567.848,7618.1426,4.0345,7,0.113851798,213,2,0.575597953,0.686102668,1.12743086,0.818268519
1,0.9046,0.854,0.9553,0.0131,0.033,0.0025,0.951,4569.723,7620.608,4.7394,6,0.086397393,215,3,0.780350418,0.766279961,3.9360718,0.516526929
2,0.9055,0.8527,0.9583,0.0131,0.0339,0.0022,0.951,4569.1675,7621.8486,4.253,5,0.104184609,226,5,0.811494497,0.722379714,2.403791468,0.27539366
3,0.9082,0.8605,0.956,0.0119,0.0292,0.0024,0.9518,4569.5586,7619.7065,4.7385,6,0.088883847,190,3,0.52843463,0.65064504,1.311957127,0.997696112
4,0.9055,0.855,0.9561,0.0127,0.032,0.0024,0.9536,4572.4453,7622.975,7.7028,4,0.111430036,247,2,0.502915365,0.947855924,1.638716556,0.432759971
5,0.9064,0.8564,0.9564,0.0128,0.0323,0.0024,0.9537,4570.0303,7621.421,5.0479,7,0.087491855,226,10,0.591905323,0.742681768,1.295438242,0.79553267
6,0.9055,0.8557,0.9553,0.0132,0.0333,0.0025,0.9547,4571.8677,7621.796,6.9136,5,0.075034334,272,7,0.666073613,0.891378564,4.4883418,0.297300188
7,0.9052,0.8569,0.9534,0.013,0.0329,0.0025,0.9539,4570.6104,7623.842,6.289,6,0.119293058,189,6,0.50100149,0.904669987,0.047077318,0.814883593
8,0.9058,0.8578,0.9538,0.0126,0.0311,0.0026,0.9497,4569.458,7620.38,4.5009,7,0.110879244,295,4,0.804562877,0.479010086,4.703770941,0.287459966
9,0.9065,0.8578,0.9552,0.013,0.0327,0.0026,0.9552,4568.869,7620.3545,3.9226,7,0.071230766,268,4,0.665492475,0.481035699,1.430434353,0.505572223
10,0.9076,0.859,0.9562,0.0125,0.0312,0.0025,0.952,4569.201,7621.1367,4.2034,5,0.080849405,210,4,0.622088987,0.722970369,0.203593221,0.609011864
11,0.9068,0.8604,0.9532,0.0127,0.0315,0.0027,0.9532,4572.73,7623.2847,8.0605,8,0.080265687,248,5,0.518557191,0.807756034,3.073261431,0.391840807
